Код;Имеет ПВЗ;Максимальный вес;Страна;Регион;Город;Улица;Дом;Офис;Эл. почта;Телефоны;График работы;Наименование;Описание;Комментарий к адресу;Ближайшая остановка;Ближайшая остановка метро;
ALV2;Да;;Россия;Белгородская обл.;Алексеевка, Алексеевский р-он;ул. Победы;51б;;zverev.a@cdek.ru;+79205860028, +79205860072;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Победы;;"Рядом с ТЦ ""Ника"", въезд во двор между магазинами ""Колос"" и ""Хозтовары"".";Почта России;;||
ARS2;Да;;Россия;Нижегородская обл.;Арзамас;ул. Кольцова;4;;arzamas@cdek.ru;+79302885881, +78314795881;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Кольцова;;здание бывшего ЗАГСа г.Арзамаса;ул. Кольцова;;||
KHME2;Да;;Россия;Московская обл.;Химки;ул. Кирова;10 корпус 2;;i.pirozhenko@cdek.ru;+79031302127, +74991302127;Пн-Пт 10:00-20:00, Сб-Вс 10:00-16:00;На Кирова;;"50 метров от станции Химки, рядом с магазином ""Пятерочка""";Станция Химки, Дом обуви, Железнодорожный вокзал станция Химки;;||
YUSKH1;Да;;Россия;Сахалинская обл.;Южно-Сахалинск;пр-т Мира;286/1;;sakhalin@cdek.ru;+74242434444, +79147562234;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Мира;;"ТЦ ""Клевер Холл""";"ТЦ ""Рай"",  9 микрорайон";;||
KRCH2;Да;;Россия;Крым респ.;Керчь;ул. Шлагбаумская;67;;a.umerov@cdek.ru;+79780084453;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Маршала Еременко;;ул. Шлагбаумская 67 (напротив въезда на базу металлопроката);Городская больница;;||
MSK130;Да;;Россия;Москва;Москва;ул. Пятницкая;18 стр. 4;;m.nizamutdinov@cdek.ru;+74951289810;Пн-Вс 10:00-20:00;Новокузнецкая;;Ближайшие остановки Ст. м. Новокузнецкая(автобусы М5), Ст. м. Новокузнецкая.  Напротив Центральный Адм. Округ, Замоскворечье, Дез, ДЕЗ и Общероссийский Народный Фронт. Институт Социально-экономических и Политических Исследований;Ст. м. Новокузнецкая;Ст. м. Новокузнецкая;||
YEKB12;Да;30.0;Россия;Свердловская обл.;Екатеринбург;ул. Пушкина;10;16-клиентский отдел, 109- администрация и продажи;i.popova@cdek.ru;+79505509536, +73432875848;Пн-Пт 09:00-20:00, Сб 09:00-16:00, Вс 09:00-14:00;На Пушкина;;Здание федерации профсоюзов;на Проспекте Ленина - «Театр Музкомедии», на ул. Малышева - остановка « ул. Горького»;;||
SPB51;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;ш. Петергофское;74 корп. 4;203;afanaseva.e@cdek.ru;+79215707300;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Солнечный город;;С Петергофского шоссе съезд по указателям на ЖК Солнечный город. Затем поворот налево, прямо до конца.Вход в отдельно стоящее небольшое здание с вывеской Сдек, либо заезд на территорию бизнес центра через шлагбаум.;Завод ЛМЗ;Ст. м. Проспект Ветеранов;||
MSK131;Да;30.0;Россия;Москва;Москва;ул. проезд Черепановых;36;;a.mareev@cdek.ru;+74995307852;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Коптево;;Ближайщие остановки: Проезд Черепановых, Соболевский проезд, Коптево. Перейти через Михалковскую улицу справа от магазина «Любимый», через 50 метров направо после автостоянки и прямо до жилого многоэтажного дома № 36, Вход — со стороны улицы.;Проезд Черепановых, Соболевский проезд;Коптево;||
SPB52;Да;50.0;Россия;Санкт-Петербург;Санкт-Петербург;ул. Тюшина;10;;n.fazilov@cdek.ru;+79219450171;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Наб. Обводного канала;;;Ст. метро «Обводный канал»;«Обводный канал»;||
KRT1;Да;;Россия;Санкт-Петербург;Кронштадт;ул. Проспект Ленина;16;;l.tkach@cdek.ru;+78124553005;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Проспект Ленина;;Остановка «Гостинный двор» здание Гостинного двора 1 этаж;Остановка «Гостинный двор» здание Гостинного двора 1 этаж;;||
CHRK3;Да;;Россия;Карачаево-Черкесская респ.;Черкесск;ул. Красная;5;;g.ermolaeva@cdek.ru;+79289222825;Пн-Пт 09:00-19:00, Сб 10:00-16:00;Красная;;Первый поворот на право возле службы судебных приставов после перекрестка ленина кавказская. второй  дом с права;Музей и Рынок;;||
KSK10;Да;70.0;Россия;Красноярский край;Красноярск;ул. Крайняя;1;;a.vettsel@cdek.ru;+73912544480, +73912544486;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Крайней;;Здание «Ростелеком» центральный вход;Ул. Крайняя;;||
VRN8;Да;30.0;Россия;Воронежская обл.;Воронеж;ул. пр-т. Московский;12;1;e.butko@cdek.ru;+74732602166;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;проспект Московский;;Остановка политехнический институт, справа от здания института въезд на улицу А.Геращенко. В желтом 4-х этажном доме, вход на первом этаже.;Политехнический институт;;||
SPB53;Да;50.0;Россия;Санкт-Петербург;Санкт-Петербург;ул. проспект Королева;61, лит.А, пом. 3Н;;i.sapunov@cdek.ru;+78126768085;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Королева;;От ст.м. Комендантский проспект и от ст.м. Старая Деревня ходит маршрут К179 до пр. Королева 61 (ЖК Юбилейный квартал). Вход со стороны Шуваловского пр-та, цоколный этаж под стоматологической клиникой.;Шуваловский пр-кт (маршрутка, троллейбус);Комендантский проспект;||
PRS1;Да;;Россия;Ленинградская обл.;Приозерск;ул. Калинина;51;;M.Martynov@cdek.ru;+79633210962;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Калинина;;Остановка на Калинина 49, дойти до МФЦ, вход с дальнего торца здания под лестницей.;Улица Калинина 49;;||
YUSKH2;Да;;Россия;Сахалинская обл.;Южно-Сахалинск;ул.  Ленина;232;;a.sedyakin@cdek.ru;+79244964090;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;;тц.Айсберг, вход с сотороны кальянной Kashmir;Дома Быта;;||
NFYU4;Да;;Россия;Ханты-Мансийский авт. округ;Нефтеюганск;ул. Строителей;11/5;;O.Kuklin@cdek.ru;+73463240540;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Строителей;;Возле ОбьСтрой, в районе Индустриального колледжа, перед поворотом на Центральный рынок;Расчётно-кассовый центр;;||
PRO1;Да;;Россия;Московская обл.;Протвино;ул. пр-д Архитектора Корина;12;;e.yakovleva@cdek.ru;+79269704744;Пн-Пт 10:00-19:00, Сб 10:00-16:00;пр-д Архитектора Корина;;"На въезде в Протвино круговое движение, третий съезд на проспект Академика Сахарова, затем поворот на право по указателю ""проезд Архитектора Корина"", проехав 800 метров-слева одноэтажное красное кирпичное здание с вывесками ""СОЮЗ АВТО"" и ""СДЭК"".";"""АТС""";Аннино;||
IVT2;Да;30.0;Россия;Московская обл.;Ивантеевка;ул. Дзержинского;6;;l.guseva@cdek.ru;+79776903431, +79776903461;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Дзержинского;;ТЦ, вход со стороны Почты России;«Почта»;;||
NSK44;Да;;Россия;Новосибирская обл.;Новосибирск;ул. Кутателадзе;4;;akadem@cdek.ru;+73833802313;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Академ, Мебельный центр Эдем;;Мебельный центр ЭДЕМ;ТЦ Эдем;;||
MSK133;Да;30.0;Россия;Москва;Москва;ул. Рязанский проспект;49, корпус 4;;msk133@cdek.ru;+74951435277;Пн-Пт 09:00-20:00, Сб 09:00-20:00, Вс 09:00-20:00;Стахановская;;Ближайшие остановки: Стахановская(автобусы 29,29к,143,143к,169,279,429,Н7,м7,т63), Метро Рязанский проспект(7).  Двигаясь по дублеру рязанского проспекта в сторону центра, повернуть направо на проектируемый проезд.;Стахановская;Рязанский проспект;||
YUBI1;Да;;Россия;Московская обл.;Юбилейный;ул. Тарасовская;15;;ivanov.on@cdek.ru;+74959843091;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Тарасовская;;От остановки по ул.Тарасовская, мимо детского сада , дойти дома № 15. Вход рядом с мельницей .;Фабрика Передовая Текстильщица;;||
SHCHLK2;Да;;Россия;Московская обл.;Щелково;ул. Комарова;17 корпус 1;;a.shein@cdek.ru;+74951377095, +79257944748, +79268178295;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Комарова;;;Детский Городок;;||
MSK134;Да;50.0;Россия;Москва;Москва;ул. 26-ти Бакинских комиссаров;14;;v.lysenkov@cdek.ru;+79258254931;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;26-ти Бакинских комиссаров;;Вход со стороны проспекта Вернадского,Ближайшие остановки Ст. м. Юго-Западная(Сокольническая линия),Автобусная остановка Ст. м. Юго-Западная (автобусы :404,226,261,699);Ст. м. Юго-Западная;Ст. м. Юго-Западная;||
VDN2;Да;30.0;Россия;Московская обл.;Видное;ул. Завидная;10;;e.pavlihin@cdek.ru;+79153682560;Пн-Пт 10:00-20:00, Сб 10:00-18:00;На Завидной;;Вход со стороны ул. Березовая;«6-й микрорайон »;«Домодедовская»;||
KST13;Да;30.0;Россия;Костромская обл.;Кострома;ул. Титова;9;;kostroma@cdek.ru;+74942641163;Пн-Пт 09:00-19:00, Сб 09:00-16:00, Вс 10:00-16:00;На Титова;;Отдельный вход с правого торца здания;Улица Гагарина;;||
KSD22;Да;;Россия;Краснодарский край;Краснодар;ул. Имени Фёдора Лузана;4;;;+79282045440;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Лузана;;По ул. Лузана, не доезжая ГМ Семейный Магнит, остановка. Здание на против, 1 этаж.;Остановка  ул.Дзержинского/ул.Лузана;;||
KHAB2;Да;;Россия;Хабаровский край;Хабаровск;ул. Флегонтова;4;;a.olesya@cdek.ru;+79638216191, +74212694359;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Флегонтова;;Вход с улицы Краснореченская, отдельное крыльцо с торца жилого высокоэтажного дома.;Парк им. Гагарина;;||
VRN9;Да;30.0;Россия;Воронежская обл.;Воронеж;ул. Владимира Невского;17;;a.a.dvercov@cdek.ru;+74732286835;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Владимира Невского;;От остановки «Владимира Невского» в сторону Бульвара Победы 100 метров, справа  от отделения Альфа-Банка;«Владимира Невского»;;||
MSK135;Да;30.0;Россия;Москва;Москва;ул. Михневская;8;;v.kochetkov@cdek.ru;+74997459099;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Бирюлево;;"От метро Царицыно автобусы 289, 389 или маршрутка 1103 до остановки Бирюлевская д.59.
Вход со двора через две арки. Офис СДЭК располагается рядом с 10-м жилым подъездом";Бирюлевская улица дом 59;Ст. м. Царицыно;||
KHME3;Да;;Россия;Московская обл.;Химки;ул. Спартаковская;11 пом. 43;;k.konjuhov@cdek.ru;+74957871909;Пн-Пт 09:00-21:00, Сб-Вс 09:00-18:00;На Спартаковской;;Пересекаем МКАД по Ленинградскому ш.в сторону области и сразу направо первая улица, по улице 150 м справа первый дом;Бутаково;Речной вокзал;||
SPB54;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;пр-т Российский;8;;v.reus@cdek.ru;+79967894880, +79046033484;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Метро Большевиков;Вход с Латышских Стрелков под магазином ЦветОптТорг;Вход с Латышских Стрелков под магазином ЦветОптТорг;Ст. м. Проспект Большевиков;Ст. м. Проспект Большевиков;||
VLKH2;Да;;Россия;Ленинградская обл.;Волхов;пр-т Кировский;30А;;m.martynov@cdek.ru;+79626867861;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Кировском;;;алюминиевый техникум;;||
RND21;Да;200.0;Россия;Ростовская обл.;Ростов-на-Дону;ул. Красноармейская;278/58;;O.Beleckaya@cdek.ru;+78632106627;Пн-Пт 09:00-20:00, Сб 10:00-18:00, Вс 10:00-14:00;Красноармейская;;Напротив завода «Рубин» , вход со стороны ул. Красноармейская;Завод «Рубин»;;||
LUKH1;Да;;Россия;Московская обл.;Луховицы;ул. Пушкина;157, пом. 10;;a.hrapova@cdek.ru;+79652958179;Пн-Пт 09:00-20:00, Сб 10:00-18:00;На Пушкина;;"Напротив автобусной остановки ""Новый"" расположен ТЦ ""Союз"". Продолжая движение в сторону г.Зарайск, пройдите ТЦ ""Квадратный метр"", магазины ""Дачник"", далее ""Рыболовный рай"", ""Автозапчасти"" и на углу 9-ти этажного жилого дома находится офис ""СДЭК"".";Новый или Поселок Новый;Котельники;||
MSK137;Да;50.0;Россия;Москва;Москва;Кутузовский проспект;30, пом.540;;ig.petrov@cdek.ru;+79777512131;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Кутузовская;;Ориентир:кофе хауз. Заходите в арку и по левой стороне,между 11 и 12 подъездами помещение 540! ВХОД СО ДВОРА;Студгородок;Кутузовская;||
MSK136;Да;;Россия;Москва;Москва;ул. Верхняя Масловка;14;;a.georgyev@cdek.ru;+79672388868;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Динамо;;;Верхняя маловка, 15;Ст. м. Динамо;||
NN22;Да;30.0;Россия;Нижегородская обл.;Нижний Новгород;ул. В.Печерская;14Б;;a.fomenko@cdek.ru;+79306705582;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;"ТЦ ""Верхнепечёрский""";;"ТЦ ""Верхнепечёрский""";5й микрорайон Верхние Печеры;;||
NN23;Да;;Россия;Нижегородская обл.;Нижний Новгород;ул. Мещерский бульвар;7;;s.zolin@cdek.ru;+79200326463;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Мещерский бульвар;;В 150 метрах от Детского Театра Вера ,вдоль магазина АТАК, следующий 12-ти этажный дом .Вход в пункт выдачи в центральной части дома, со стороны проезжей части .Цокольный этаж. Вывеска СДЭК;«Театр Вера»;Стрелка;||
ZVK1;Да;;Россия;Тюменская обл.;Заводоуковск;ул. Теплякова;1В;;a.klapsha@cdek.ru;+73454221499;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Теплякова;;Территория ТЦ «Элита», рядом Кафе-Чайхана «Лола»;Механизаторов;;||
SKHD3;Да;;Россия;Московская обл.;Сходня;ул. Кирова;3A павильон 35;;m.ginnatulin@cdek.ru;+79152721274, +79164795271;Пн-Пт 10:00-20:00, Сб 10:00-18:00;На Кирова;;торговые ряды на станции, напротив медицинского центра;станция Сходня;метро Сходненская;||
BRZ3;Да;;Россия;Пермский край;Березники;ул. Черепанова;22;;a.zvezdin@cdek.ru;+73424201028;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Черепанова;;напротив гостиницы Березники;ЦУМ, Советская площадь;;||
ULK3;Да;;Россия;Краснодарский край;Усть-Лабинск;ул. К.Маркса;77;;t.radionova@cdek.ru;+79531131494, +79181119093;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Маркса;;;К. Маркса;;||
KYSH2;Да;;Россия;Челябинская обл.;Кыштым;ул. Ленина;4 (вход с площади ,с торца, слева);;t.kuzminov@cdek.ru;+79000815146;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;;;центр;;||
KNP3;Да;;Россия;Ленинградская обл.;Кингисепп;ул. Большая Гражданская;2;;m.martynov@cdek.ru;+79626848904;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Большой Гражданской;;здание городской бани отдельный вход с торца;городская автостанция;;||
EST2;Да;150.0;Россия;Московская обл.;Электросталь;ул. Северная;9;;o.romanov@cdek.ru;+79256180100;Пн-Пт 09:00-19:00, Сб 10:00-16:00;ТЦ Первый;;ТЦ Первый (левое крыльцо - ближе к АЗС);Эльград, Чириково;;||
NN24;Да;30.0;Россия;Нижегородская обл.;Нижний Новгород;ул. Родионова;18;;o.bortnikova@cdek.ru;+78312809751;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Родионова;;;«а/с Сенная»;«Горьковская»;||
NSK45;Да;30.0;Россия;Новосибирская обл.;Новосибирск;ул. Широкая;1а;;Ivanova@cdek.ru;+73832589494;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Широкой;;Напротив МФЦ (через дорогу), если смотреть от МФЦ в сторону площади Станиславского, здание бизнес-центра за остановкой общественного транспорта, второй этаж.;Пл.Труда;Пл.Карла Маркса;||
ZHKA1;Да;;Россия;Красноярский край;Железногорск, Красноярский край;ул. проспект Ленинградский;35, пом. 11, к.30;;yu.kursinov@cdek.ru;+79830553322;Пн-Пт 10:00-19:00, Сб 10:00-16:00;проспект Ленинградский;;ТД Михайлова, со стороны маг. «Золотой Якорь»,возле хоз. двора вывеска «Эридан-Сервис»;магазин «Балтийский»;;||
VSYA1;Да;;Россия;Московская обл.;Восточный мкр., округ Балашиха;ул. Кольцевая;14;;a.sudakov@cdek.ru;+79774890987;Пн-Пт 09:00-20:00, Сб 10:00-16:00;Янтарный;;;Акуловский проезд;;||
PRM12;Да;70.0;Россия;Пермский край;Пермь;ул. Героев Хасана;54;;r.shilonosov@cdek.ru;+73422070080;Пн-Пт 09:00-20:00, Сб 10:00-18:00, Вс 10:00-18:00;Героев Хасана;;;Нейвинская, Велта;;||
KST14;Да;30.0;Россия;Костромская обл.;Кострома;ул. Голубкова;12А;;kostroma@cdek.ru;+74942641163;Пн-Пт 09:00-19:00, Сб 09:00-16:00, Вс 10:00-16:00;Голубкова;;Въезд во двор, на территорию бывшего детского садика, отдельный вход;Улица Голубкова;;||
SOM1;Да;;Россия;Пермский край;Соликамск;ул. Всеобуча;80;;p.krohalev@cdek.ru;+73425370414;Пн-Пт 10:00-19:00, Сб 10:00-18:00;На Всеобуча;;Городской район «Центр». Обойти с левой стороны ТЦ ЦУМ, подняться в горку 100 метров. Центральный вход в ТЦ Космос. Первый этаж;Кинотеатр «Русь»;;||
NBK4;Да;;Россия;Самарская обл.;Новокуйбышевск;ул. Кирова;2;;dir-dimitrovgrad@cdek.ru;+78462529799;Пн-Пт 10:00-20:00, Сб 10:00-16:00;На Кирова;;;Профессиональный лицей № 53;;||
SVK3;Да;;Россия;Архангельская обл.;Северодвинск;пр-т Морской;15;;timohina.e@cdek.ru;+79115505813;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Морском проспекте;;Во дворе площади Пашаева за ЖК Парус. Вход —  крыльцо на территории стоянки;пл. Пашаева;;||
GLD5;Да;;Россия;Краснодарский край;Геленджик;ул. Халтурина;11;11;E.Skryaga@cdek.ru;+79883495480;Пн-Пт 09:00-19:00, Сб 09:00-16:00;На Халтурина;;От  супермаркета «Пятерочка» пройти 30 метров  в сторону «ГБПОУ Новороссийского мед.колледжа Геленджикского филиала»;Ленина, Автостанция;;||
MGD2;Да;30.0;Россия;Магаданская обл.;Магадан;ул. переулок Школьный;7;;Client-magadan@cdek.ru;+74132602244;Пн-Пт 10:00-19:00, Сб 10:00-16:00;переулок Школьный;;Парковка Перед сквером за Магаданским ДрамТеатром;Магазин «Восход»;;||
RMN3;Да;;Россия;Московская обл.;Раменское;ул. Космонавтов;20/3;;Shushpannikov.r@cdek.ru;+79852431134;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Космонавтов;;"Находимся на малом круге в ""холодово"", за остановкой .";Холодово малый круг;;||
RZN7;Да;30.0;Россия;Рязанская обл.;Рязань;ул. Интернациональная;3В;;s.mitrofanov@cdek.ru;+74912999333;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Интернациональной;;Не доезжая 50 м. до остановки «Больничный комплекс» Здание на первой линии.;«Больничный комплекс»;;||
YELB1;Да;;Россия;Татарстан респ.;Елабуга;пр. Нефтяников;12;;a.ovchinnikov@cdek.ru;+78552750083, +78555731717, +79027180083;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Нефтяников;;Остановка 6-ой комплекс. Налево через пешеходный переход между магазинами «Магнит» и «Зоотовары»;6-ой рынок;;||
MSK138;Да;50.0;Россия;Москва;Москва;ул. Весенняя;3, корп. 1;;e.kireeva@cdek.ru;+79254303378;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Весенняя;;"От остановки "" ул. Весенняя"" перейти через дорогу, повернуть налево, пройти до светофора , повернуть направо, идти вдоль жилого дома (ул. Весенняя д.3, корп.1).";Ул. Весенняя, станция Ховрино;м. Ховрино, м. Селигерская;||
SHCHKN1;Да;;Россия;Тульская обл.;Щекино;ул. Советская;15;;T.Kalinina@cdek.ru;+74875190010, +79639368039;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Советской;;От Автовокзала в сторону «кольца» по улице Советская 300м. Вход с крыльцом — со стороны улицы Советская.;Гараж;;||
ALV3;Да;;Россия;Владимирская обл.;Александров;Институтская;10;;v.bylkov@cdek.ru;+79157511343;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Институтской;;"здание ""Россельхозбанк"" напротив Налоговой";14 школа и Центральный Рынок;;||
MSK139;Да;;Россия;Москва;Москва;ул. Коненкова;18;;s.maslyaeva@cdek.ru;+74959734062;Пн-Пт 10:00-20:00, Сб 10:00-17:00, Вс 10:00-15:00;На Коненкова;;«Улица Коненкова» Вход в офис расположен в доме за остановкой;Улица Коненкова;Алтуфьево, Биберево, Медведково;||
AMU1;Да;;Россия;Хабаровский край;Амурск;ул. пр-кт Победы;5;;V.Klunichenko@cdek.ru;+74217346363;Пн-Пт 10:00-19:00, Сб 10:00-16:00;проспект Победы;;По проспекту Победы. Находимся в одном помещении с парикмахерской «Звезда».;Библиотека;;||
SPB55;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;пр-т. 2-й Муринский;49;;i.belyakov@cdek.ru;+78126468707;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Мужества;;;Площадь Мужества;Метро «Площадь Мужества»;||
USP1;Да;;Россия;Московская обл.;Успенское;ш. 1-ое Успенское;вл. 2;;a.trifonov@cdek.ru;+74950151978, +79773569014;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Успенское;;;Пластмассовый завод;Ст. м. Молодежная;||
NVN1;Да;;Россия;Свердловская обл.;Невьянск;ул. Карла Маркса;18;58;aa.ermakov@cdek.ru;+73435644040, +79826400088;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Карла Маркса;;Напротив Межрайонной ИФНС № 28 по Свердловской области, рядом с остановкой общественного транспорта. Вход — в жилом доме, крыльцо около парковки.;Сквер ветеранов;;||
UU6;Да;50.0;Россия;Бурятия респ.;Улан-Удэ;ул. Бабушкина;34;106;antropov.v@cdek.ru;+79834511238;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Бабушкина;;"Ост. "" Геологическая"". От остановки 30 метров. Деловой центр ""MAXXI"".";Геологическая;;||
MSK140;Да;100.0;Россия;Москва;Москва;ул. Академика Анохина;60;;d.basalay@cdek.ru;+79035933666;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Тропарево;;Первый вагон из центра, первый выход направо, после выхода из метро повернуть направо, пройти  до пешеходного перехода(ул. Академика Анохина), перейти дорогу,повернуть направо, пройти до магазина Дикси. Вход со двора, рядом с первым подъездом.;ул. Академика Анохина, д.56;Тропарево;||
SPB56;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;пр-т Индустриальный;19;;m.suhanov@cdek.ru;+79657842832;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Индустриальный;;ТЦ Остров;Индустриальный пр. 19;Ст. м. Ладожская;||
SMF7;Да;30.0;Россия;Крым респ.;Симферополь;ул. Петропавловская;14;;S.mamin@cdek.ru;+73652512535;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Петропавловской;;;Площадь Ленина;;||
VLD7;Да;;Россия;Владимирская обл.;Владимир;ул. Добросельская;2А;;E.Sizov@cdek.ru;+74922377003;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Добросельской;;Остановка ул. Погодина,за ДММ  (слева по указателю).;Улица Погодина;;||
MSK141;Да;50.0;Россия;Москва;Москва;ул. Садовая-Черногрязская;3Б, стр1 подъезд 9;;v.gudoshnikov@cdek.ru;+79057983166;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Красные ворота;;Код Домофона 146;;;||
MIV2;Да;;Россия;Волгоградская обл.;Михайловка;Белорусская;2а;;r.shaposhnikov@cdek.ru;+79616914915;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Белорусской;;здание сразу за центральным офисом «СБЕРБАНК»;Сбербанк;;||
PLK6;Да;;Россия;Московская обл.;Подольск;ул. Подольская;18. корпус 2, помещение 23;;samohvalov.d@cdek.ru;+79258700290;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Тепличная/Родники;;;Тепличная/Родники, ВНИИМЖ;Речной вокзал;||
CHEL22;Да;50.0;Россия;Челябинская обл.;Челябинск;ул. Пионерская;3;;e.vershinin@cdek.ru;+79226959666;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Пионерской;;Пересечение Комсомольского проспекта и улицы Пионерской. Остановки “Кинотеатр Победа” или “Пионерская”.;Кинотеатр Победа или Пионерская.;;||
GRI1;Да;;Россия;Липецкая обл.;Грязи;ул. Октябрьская;51;;m.kordukov@cdek.ru;+79525983121;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Октябрьской;;ТЦ Октябрьский;Автостанция Грязи;;||
VLG13;Да;;Россия;Волгоградская обл.;Волгоград;ул. им. 39-й Гвардейской дивизии;28, пом. III;;Vlg39@cdek.ru;+79026507138;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На 39-ой Гвардейской дивизии;;Первый дом от «второй продольной», стоящий вдоль 39-й Гвардейской. Через дорогу от МАНа.;ул. 39-ой Гвардейской дивизии;;||
NSK46;Да;;Россия;Новосибирская обл.;Новосибирск;ул Московская;93;;ya.shiryaev@cdek.ru;+73832632600;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Кирова;;"100м от пересечения улиц Кирова и Сакко и Ванцетти в сторону ул. Толстого. За
магазином Бахетле. Цокольный этаж";ГПНТБ;Октябрьская;||
YALT2;Да;200.0;Россия;Крым респ.;Ялта;ул. Объездная дорога;6;;v.cherednichenko@cdek.ru;+79782168004;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Ливадия;;"Остановка ""Улица Курчатова"", пройти пешком 80 м.в сторону п. Ливадия до въезда в автобазу №62";Улица Курчатова;;||
KUG1;Да;;Россия;Краснодарский край;Курганинск;ул. Таманская;32Б;;v.shmatula@cdek.ru;+79782708713;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Таманской;;Напротив остановки «Парк Победы»;Парк Победы;;||
KSD23;Да;;Россия;Краснодарский край;Краснодар;ул. Восточно-Кругликовская;30/2, пом. 15;;o.baryshnikov@cdek.ru;+79648908289;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Восточно-Кругликовская;;Вход со стороны первого подъезда;Ост. «Панорама»;;||
TYUM19;Да;100.0;Россия;Тюменская обл.;Тюмень;ул. Республики;181;вход со двора;i.bykov@cdek.ru;+73452562999;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;ДК Строитель;;Справа от ДК Строитель, вход со двора;ДК Строитель;;||
